Year,GEO,Y,K,L,WAGE,alpha,s_i,total_s,total_L,total_K,l_eff,k_eff,Y_eff,gap,labor_gap,capital_gap
2015,Newfoundland and Labrador,37475,60897,0.2374,886292,0.3643520415554808,106811785508.14375,5566934656292.936,17.8676,2417360,0.3428224645295503,46381.456538939405,40987.01413929394,0.09371618783973157,0.4440710384564039,-0.23836220932165122
2016,Newfoundland and Labrador,38590,67134,0.2305,886616,0.3670353143087226,105419558233.36417,5269198864082.891,18.1041,2426128,0.3622042502935271,48538.9427453524,43135.641666365715,0.11779325385762411,0.5713850338113973,-0.2769841995806537
2017,Newfoundland and Labrador,35557,69613,0.2269,945328,0.3465757704504966,137367423720.05013,8949068949235.055,18.6196,2447126,0.2858092274410818,37563.169536992464,34094.718383090985,-0.04112499977245028,0.25962638801710797,-0.46040007560380297
2018,Newfoundland and Labrador,34249,70506,0.231,986268,0.3360735856016932,154971514199.55142,12018085848964.45,18.893,2475676,0.2436225580818603,31923.49124553367,29361.349187886557,-0.14270929989527995,0.054643108579481826,-0.5472230555479863
2019,Newfoundland and Labrador,35074,71795,0.2263,1034668,0.3124307226113422,307587018864.06464,21042033598460.05,19.1864,2504801,0.280461845625291,36614.53484677034,33634.86575617214,-0.04103136921445683,0.23933648088948728,-0.4900127467543654
2020,Newfoundland and Labrador,33216,71947,0.2266999999999999,1038524,0.2801528244944319,589634862695.5466,41098283505812.96,18.5917,2506634,0.2667341198136968,35962.54316093128,31549.572338707938,-0.05016942621905293,0.176595146950582,-0.5001522904230714
2021,Newfoundland and Labrador,33522,70852,0.2282,1139588,0.2575783700863561,1071763291858.198,77787763265986.27,19.5089,2522305,0.268794499374365,34752.4314412631,32166.136488807915,-0.040446975454689005,0.17789000602263375,-0.5095066978876659
2022,Newfoundland and Labrador,34244,69854,0.2398,1227824,0.2258913822887813,2373337637753.8706,171463786749622.88,19.9984,2547967,0.2768103767833145,35268.006705609034,33270.167789057996,-0.028438039100046844,0.15433851869605705,-0.49511829378977534
2023,Newfoundland and Labrador,35482,69612,0.241,1303740,0.1870495612060504,6968822954424.193,417462611115120.0,20.5328,2578537,0.3427599122622806,43044.25679327925,40446.50240187844,0.13991608144632317,0.42224029984348793,-0.3816546458472785
2015,Prince Edward Island,7316,5295,0.0729,886292,0.3643520415554808,21136574601.59884,5566934656292.936,17.8676,2417360,0.0678398227513979,9178.248557518606,8110.763039214625,0.10863354827974642,-0.0694125822853513,0.7333802752631927
2016,Prince Edward Island,7561,5279,0.0728,886616,0.3670353143087226,22058866040.257885,5269198864082.891,18.1041,2426128,0.0757906328800025,10156.69249329681,9026.060790091422,0.19376547944602857,0.041080121978056244,0.9239803927442338
2017,Prince Edward Island,7950,5404,0.0752,945328,0.3465757704504966,38227595281.05334,8949068949235.055,18.6196,2447126,0.0795370487290683,10453.349154018884,9488.12360510226,0.19347466730846047,0.05767352033335508,0.9343725303513849
2018,Prince Edward Island,8123,5509,0.0757999999999999,986268,0.3360735856016932,50376999038.15212,12018085848964.45,18.893,2475676,0.0791950277930339,10377.453534459704,9544.57125515581,0.1750056943439382,0.0447892848685226,0.8837272707314765
2019,Prince Edward Island,8444,5614,0.0808,1034668,0.3124307226113422,86962028293.06772,21042033598460.05,19.1864,2504801,0.0792931088069463,10351.783462908525,9509.361475408798,0.12616786776513472,-0.018649643478387306,0.8439229538490425
2020,Prince Edward Island,8375,5711,0.0772,1038524,0.2801528244944319,184305582969.24985,41098283505812.96,18.5917,2506634,0.0833746281983954,11241.020335927144,9861.632495293097,0.17750835764693698,0.07998223054916319,0.968310337231158
2021,Prince Edward Island,9151,5925,0.0842,1139588,0.2575783700863561,344051082738.33234,77787763265986.27,19.5089,2522305,0.0862868128124824,11156.019016499567,10325.781980549076,0.12837744296241682,0.024784000148247127,0.8828724078480282
2022,Prince Edward Island,9315,6091,0.0841,1227824,0.2258913822887813,728351250249.6655,171463786749622.88,19.9984,2547967,0.0849500639121102,10823.363843904906,10210.249026392245,0.09610832274742293,0.010107775411536325,0.7769436617804805
2023,Prince Edward Island,9401,6215,0.0923,1303740,0.1870495612060504,1523626865191.3103,417462611115120.0,20.5328,2578537,0.0749392277646946,9410.970327607172,8843.010945399843,-0.05935422344433114,-0.18809070677470638,0.5142349682392876
2015,Nova Scotia,52475,43982,0.4403,886292,0.3643520415554808,169505873186.00763,5566934656292.936,17.8676,2417360,0.5440450313737147,73605.44768416368,65044.691350455454,0.2395367575122526,0.23562350981992894,0.6735357119768014
2016,Nova Scotia,53480,44230,0.4441,886616,0.3670353143087226,166170637086.74826,5269198864082.891,18.1041,2426128,0.5709349577577214,76510.91670918882,67993.8066234195,0.271387558403506,0.28559999495096017,0.7298421141575587
2017,Nova Scotia,54532,44381,0.4483999999999999,945328,0.3465757704504966,277947471445.7521,8949068949235.055,18.6196,2447126,0.5783027003913849,76004.83221970226,68986.81294007516,0.26507028790572806,0.28970272165786126,0.7125533949145415
2018,Nova Scotia,55809,44776,0.4586,986268,0.3360735856016932,366008809710.9084,12018085848964.45,18.893,2475676,0.5753831790496015,75396.30165547034,69345.08269646767,0.24254300733694686,0.2546515025067629,0.6838552272527768
2019,Nova Scotia,57201,45398,0.4665,1034668,0.3124307226113422,657026723728.1733,21042033598460.05,19.1864,2504801,0.5990855148649122,78211.12854517507,71846.35337481901,0.2560331703085437,0.28421332232564245,0.7227879762362895
2020,Nova Scotia,55786,45443,0.4655,1038524,0.2801528244944319,1282521793518.5403,41098283505812.96,18.5917,2506634,0.5801765522685662,78222.55479160944,68623.84953902464,0.2301267260428179,0.24635134751571688,0.7213334241051303
2021,Nova Scotia,59580,45724,0.4821,1139588,0.2575783700863561,2483639098948.7656,77787763265986.27,19.5089,2522305,0.6228880325534225,80533.17198558916,74539.84928632525,0.25108844052241097,0.2920307665493104,0.7612888633013113
2022,Nova Scotia,61395,45983,0.5005,1227824,0.2258913822887813,5288173474099.731,171463786749622.88,19.9984,2547967,0.6167775155862097,78582.72442073606,74131.22177906896,0.20744721523037643,0.23232270846395567,0.7089516651966176
2023,Nova Scotia,62242,46407,0.5166000000000001,1303740,0.1870495612060504,12672676180155.076,417462611115120.0,20.5328,2578537,0.6233025869713961,78275.18812346406,73551.21961212477,0.1816975613271548,0.20654778740107627,0.686710800600428
2015,New Brunswick,39491,37071,0.3563,886292,0.3643520415554808,107101402329.73357,5566934656292.936,17.8676,2417360,0.3437520169387184,46507.21841024985,41098.14914845991,0.04069659285558507,-0.03521746579085498,0.25454447978877964
2016,New Brunswick,40003,36590,0.3608,886616,0.3670353143087226,103972067204.72469,5269198864082.891,18.1041,2426128,0.3572309093725344,47872.46599909237,42543.35636966154,0.06350414643055617,-0.009892158058385898,0.3083483465179658
2017,New Brunswick,41609,36785,0.363,945328,0.3465757704504966,185351225292.17328,8949068949235.055,18.6196,2447126,0.3856452211986976,50684.35667635632,46004.341183368255,0.1056343863916041,0.06238352947299616,0.37785392622961317
2018,New Brunswick,42752,37337,0.3576999999999999,986268,0.3360735856016932,258571032939.40616,12018085848964.45,18.893,2475676,0.4064859068838435,53264.56380726016,48989.61223435214,0.14590223227807217,0.13638777434678115,0.42658927624769416
2019,New Brunswick,42732,37125,0.3638,1034668,0.3124307226113422,437246063914.2846,21042033598460.05,19.1864,2504801,0.3986866498159657,52048.88458208319,47813.177280641765,0.11890801461765807,0.09589513418352302,0.40199015709314995
2020,New Brunswick,42151,36780,0.3629,1038524,0.2801528244944319,891369606687.2031,41098283505812.96,18.5917,2506634,0.4032303761373029,54365.71000277286,47694.48291802295,0.13151486128497425,0.11113357987683355,0.4781324089932806
2021,New Brunswick,44336,36539,0.3685,1139588,0.2575783700863561,1712012955807.0796,77787763265986.27,19.5089,2522305,0.429366884343223,55512.82948876324,51381.53436065246,0.15891226905116523,0.1651747200630204,0.5192761019393863
2022,New Brunswick,45961,36706,0.3823,1227824,0.2258913822887813,3727586605803.7246,171463786749622.88,19.9984,2547967,0.4347610034202698,55392.26586135564,52254.44110881136,0.1369300299995945,0.13722470159631134,0.5090793293019027
2023,New Brunswick,46467,36748,0.3935,1303740,0.1870495612060504,8957022968567.389,417462611115120.0,20.5328,2578537,0.4405490607116537,55324.75129355205,51985.85950326744,0.11876943859658343,0.1195655926598568,0.5055173422649409
2015,Quebec,408179,374580,4.0343,886292,0.3643520415554808,1002251346878.701,5566934656292.936,17.8676,2417360,3.2168198966098225,435212.99700400286,384595.10746135475,-0.0577783093658548,-0.2026324525667842,0.1618692856105581
2016,Quebec,414406,373666,4.115399999999999,886616,0.3670353143087226,963561220651.6912,5269198864082.891,18.1041,2426128,3.3106377543859318,443658.11908754543,394270.5910949529,-0.048588603700349675,-0.195548973517536,0.1873119820576275
2017,Quebec,431558,377837,4.231199999999999,945328,0.3465757704504966,1661526941164.0293,8949068949235.055,18.6196,2447126,3.4570039865814395,454345.11684821866,412392.48440995294,-0.04441005748948474,-0.18297315499587824,0.2024897425297646
2018,Quebec,445169,384097,4.2785,986268,0.3360735856016932,2258116404555.676,12018085848964.45,18.893,2475676,3.549865907718279,465162.6438869612,427829.2343177351,-0.0389509729614256,-0.17030129537962402,0.21105513421599548
2019,Quebec,455495,391117,4.3151,1034668,0.3124307226113422,4053531757148.199,21042033598460.05,19.1864,2504801,3.696062994169914,482524.1985917001,443256.6660113654,-0.02686820709038426,-0.14345832213160442,0.2337080684084305
2020,Quebec,440934,394945,4.1831000000000005,1038524,0.2801528244944319,7990651065129.056,41098283505812.96,18.5917,2506634,3.6147443332164335,487359.4693840609,427555.49198730715,-0.03034129373714173,-0.13586949075651236,0.2339932633254273
2021,Quebec,474242,401632,4.3542,1139588,0.2575783700863561,15576551844450.39,77787763265986.27,19.5089,2522305,3.906544930969553,505077.0577587233,467488.9469155982,-0.014239677389184892,-0.10280994649544047,0.25756179228428844
2022,Quebec,488690,408792,4.453,1227824,0.2258913822887813,33702724622757.85,171463786749622.88,19.9984,2547967,3.930862492148029,500825.4616134759,472455.0292847356,-0.033221409718358026,-0.11725522296249077,0.2251351827175579
2023,Quebec,487555,416781,4.548,1303740,0.1870495612060504,78004088976130.95,417462611115120.0,20.5328,2578537,3.836612706107544,481807.05102900864,452729.62059201935,-0.0714286170954675,-0.1564176107942955,0.15601971066101536
2015,Ontario,781916,633252,6.884399999999999,886292,0.3643520415554808,2435970464135.417,5566934656292.936,17.8676,2417360,7.8184761546975965,1057784.5663278662,934757.8582403561,0.19547094347775987,0.13568011078635714,0.6704006719723998
2016,Ontario,795465,637821,6.9861,886616,0.3670353143087226,2355389272106.4097,5269198864082.891,18.1041,2426128,8.092729847759042,1084505.6357446075,963779.675508338,0.21159281113353576,0.15840452437827135,0.7003291452376255
2017,Ontario,823285,646544,7.2054,945328,0.3465757704504966,3964573114062.172,8949068949235.055,18.6196,2447126,8.248764868539968,1084113.889540631,984010.6203680246,0.1952247646538253,0.14480318490853641,0.6767828477885977
2018,Ontario,850111,661304,7.3078,986268,0.3360735856016932,5361412080300.872,12018085848964.45,18.893,2475676,8.428393648215819,1104428.7235187818,1015788.5663242931,0.19488933365677322,0.15334213418755552,0.6700771861636733
2019,Ontario,861669,675608,7.5061,1034668,0.3124307226113422,9108647177107.54,21042033598460.05,19.1864,2504801,8.305383003078463,1084274.8848921077,996037.2390024206,0.1559395069364461,0.1064844597165589,0.6048875751798494
2020,Ontario,826151,683809,7.2882,1038524,0.2801528244944319,17374880041398.94,41098283505812.96,18.5917,2506634,7.85990386240796,1059714.9404434836,929677.1093834254,0.12531136485149258,0.07844239488597465,0.5497235930552006
2021,Ontario,876703,696582,7.716399999999999,1139588,0.2575783700863561,31683938224910.285,77787763265986.27,19.5089,2522305,7.946221314043528,1027366.6763127884,950909.4864393465,0.0846426742458352,0.02978348893830392,0.4748682514230749
2022,Ontario,904895,706610,7.864,1227824,0.2258913822887813,69276389191901.19,171463786749622.88,19.9984,2547967,8.07993902314982,1029453.2559103715,971137.4629426671,0.07320458499899665,0.027459184022103192,0.45689030145394427
2023,Ontario,911581,715757,8.0366,1303740,0.1870495612060504,165030868966476.88,417462611115120.0,20.5328,2578537,8.117004340253233,1019344.4644911338,957826.2328789806,0.05073079943414856,0.010004770705675695,0.4241487886128027
2015,Manitoba,73665,77402,0.637,886292,0.3643520415554808,194234621095.461,5566934656292.936,17.8676,2417360,0.6234142719750003,84343.54499213587,74533.88334729297,0.011795063426226418,-0.021327673508633734,0.08968172646877169
2016,Manitoba,73891,79261,0.6407,886616,0.3670353143087226,179589265598.0406,5269198864082.891,18.1041,2426128,0.6170391566497423,82689.33418641776,73484.449544118,-0.005502029420118766,-0.03692967590176019,0.04325373369523175
2017,Manitoba,76405,81377,0.6501,945328,0.3465757704504966,309065208429.98346,8949068949235.055,18.6196,2447126,0.643046845155307,84513.98816287814,76710.2633074537,0.003995331554920499,-0.010849338324400928,0.03854883029453217
2018,Manitoba,77545,83149,0.658,986268,0.3360735856016932,401016901027.1733,12018085848964.45,18.893,2475676,0.6304175562000346,82607.8237369966,75977.81645303857,-0.020209988354651244,-0.04191860759873167,-0.006508511984550702
2019,Manitoba,78038,84348,0.6645,1034668,0.3124307226113422,696463191830.6671,21042033598460.05,19.1864,2504801,0.6350441995643351,82905.56571910031,76158.76004082059,-0.02408108817729067,-0.04432776589264841,-0.017100989719965952
2020,Manitoba,74752,84149,0.6321,1038524,0.2801528244944319,1406511440770.602,41098283505812.96,18.5917,2506634,0.6362659586421952,85784.83328448287,75258.15933432187,0.0067711811633383735,0.006590663885769903,0.019439723401144034
2021,Manitoba,78035,83350,0.6811,1139588,0.2575783700863561,2451807191838.572,77787763265986.27,19.5089,2522305,0.614904701158501,79501.00734821508,73584.49890571058,-0.057032115003388416,-0.09718881051460725,-0.04617867608620184
2022,Manitoba,80674,82480,0.6938,1227824,0.2258913822887813,5557544984342.905,171463786749622.88,19.9984,2547967,0.6481952237365224,82585.60883062024,77907.35341782898,-0.03429415402943966,-0.0657318770012649,0.0012804174420495112
2023,Manitoba,82385,81582,0.7155,1303740,0.1870495612060504,14012370757455.598,417462611115120.0,20.5328,2578537,0.6891951485670753,86550.06578745719,81326.70197018479,-0.012845761119320393,-0.036764292708490166,0.06089659223183045
2015,Saskatchewan,76328,143531,0.5631,886292,0.3643520415554808,161155025604.91782,5566934656292.936,17.8676,2417360,0.5172422011893848,69979.21419033174,61840.21062529128,-0.1898096291624138,-0.08143810834774506,-0.5124452962054766
2016,Saskatchewan,73677,144239,0.5606,886616,0.3670353143087226,135847656303.44276,5269198864082.891,18.1041,2426128,0.4667501868732789,62549.129610336575,55586.230123911926,-0.24554161917678616,-0.16740958459993058,-0.5663507816170621
2017,Saskatchewan,75740,145909,0.5642999999999999,945328,0.3465757704504966,241670231713.33,8949068949235.055,18.6196,2447126,0.5028235978441256,66084.80846516056,59982.76934009114,-0.20804371085171458,-0.10894276476320107,-0.5470820273926861
2018,Saskatchewan,76296,147288,0.5732,986268,0.3360735856016932,312370530024.8235,12018085848964.45,18.893,2475676,0.4910612636593463,64347.0377902459,59182.61982169232,-0.224302455938813,-0.14329856305068686,-0.5631209752984229
2019,Saskatchewan,74972,147116,0.5735,1034668,0.3124307226113422,534165520583.85,21042033598460.05,19.1864,2504801,0.4870590713665633,63585.98012227615,58411.39084076163,-0.22089058794267682,-0.1507252460914328,-0.5677833809899933
2020,Saskatchewan,69707,144134,0.5487000000000001,1038524,0.2801528244944319,1034239652251.8992,41098283505812.96,18.5917,2506634,0.4678607402192838,63079.52681566636,55339.02553711379,-0.20611953552564605,-0.14732870381030846,-0.5623549834482748
2021,Saskatchewan,72755,141192,0.5658,1139588,0.2575783700863561,1994738263305.8447,77787763265986.27,19.5089,2522305,0.5002734063960876,64680.33124983386,59866.78562735539,-0.17714541093594405,-0.11581228986198716,-0.5418980448620753
2022,Saskatchewan,75354,139262,0.5794,1227824,0.2258913822887813,4724814831289.982,171463786749622.88,19.9984,2547967,0.5510710961962201,70211.1652813122,66233.889232051,-0.12103021429451648,-0.04889351709316525,-0.4958340015128879
2023,Saskatchewan,77634,138982,0.6019,1303740,0.1870495612060504,12724806021839.004,417462611115120.0,20.5328,2578537,0.6258665809311631,78597.17797838087,73853.77712874814,-0.048692877750107624,0.03981821055185763,-0.4344794435367107
2015,Alberta,319419,757553,2.2274000000000003,886292,0.3643520415554808,611752158477.0156,5566934656292.936,17.8676,2417360,1.9634760495074064,265644.43255038303,234748.38708064944,-0.2650769457025116,-0.11848969672829031,-0.6493388151715022
2016,Alberta,299754,751934,2.1991,886616,0.3670353143087226,482509699504.4725,5269198864082.891,18.1041,2426128,1.6578239076044676,222164.7583314615,197433.62471977726,-0.3413478228154511,-0.24613527915762468,-0.7045422093807948
2017,Alberta,306425,748437,2.2635,945328,0.3465757704504966,838780786102.8694,8949068949235.055,18.6196,2447126,1.7451829697050167,229364.89612678887,208186.14714363933,-0.32059672956306,-0.22898918943891466,-0.6935414789397253
2018,Alberta,310233,744592,2.2953,986268,0.3360735856016932,1119770353868.473,12018085848964.45,18.893,2475676,1.7603320163884475,230668.0635687549,212154.9146628309,-0.3161433030566351,-0.23307105110946394,-0.6902087806896193
2019,Alberta,304336,736677,2.3091,1034668,0.3124307226113422,1923271533807.806,21042033598460.05,19.1864,2504801,1.753664007025948,228942.34241246933,210311.1506174504,-0.3089507957735845,-0.24054219954703218,-0.6892228990283811
2020,Alberta,281112,718484,2.1722,1038524,0.2801528244944319,3803836294411.954,41098283505812.96,18.5917,2506634,1.7207478561681555,232000.57454123124,203531.73790729302,-0.2759763442781062,-0.20783175758762756,-0.6770970897873422
2021,Alberta,297707,705884,2.3139000000000003,1139588,0.2575783700863561,7368144520278.547,77787763265986.27,19.5089,2522305,1.8479049736929036,238915.5695436687,221135.3422056736,-0.25720476103795475,-0.2013894404715401,-0.6615370662266481
2022,Alberta,312459,702545,2.3931,1227824,0.2258913822887813,18040093792687.8,171463786749622.88,19.9984,2547967,2.1040770097449237,268077.3855052776,252891.51356529864,-0.19064096868613598,-0.12077346966490171,-0.6184196236464887
2023,Alberta,318014,698421,2.4869,1303740,0.1870495612060504,47616597118418.03,417462611115120.0,20.5328,2578537,2.342011091008678,294112.9438058251,276362.99878972955,-0.13097222515446003,-0.05826085045290188,-0.5788887450322584
2015,British Columbia,279559,283797,2.4145,886292,0.3643520415554808,757015404475.9395,5566934656292.936,17.8676,2417360,2.4297120904274085,328722.8737444089,290490.42612018663,0.03910239384239689,0.006300306658690693,0.1583028493761699
2016,British Columbia,289631,285974,2.494,886616,0.3670353143087226,754680621353.7395,5269198864082.891,18.1041,2426128,2.5929583964237533,347482.005092701,308800.6950589009,0.06618661351478579,0.039678587178730164,0.21508250782484073
2017,British Columbia,301933,290839,2.5916,945328,0.3465757704504966,1294558952023.6414,8949068949235.055,18.6196,2447126,2.693483534413908,353997.5932692523,321310.6987396542,0.06417880370696218,0.03931298595998909,0.21715998634726524
2018,British Columbia,311789,297118,2.6571,986268,0.3360735856016932,1735471223299.4143,12018085848964.45,18.893,2475676,2.7282429360097367,357499.89725553594,328807.37376811565,0.05458298326148661,0.02677465507874633,0.20322530865021957
2019,British Columbia,323694,310003,2.6807,1034668,0.3124307226113422,3237132583182.4023,21042033598460.05,19.1864,2504801,2.95165960568166,385341.696825409,353982.81849595753,0.09357238161954665,0.10107792952648947,0.2430257024138767
2020,British Columbia,317912,321232,2.6351,1038524,0.2801528244944319,6540333165979.969,41098283505812.96,18.5917,2506634,2.958661572928008,398902.8272398341,349953.38198969455,0.10078695358997002,0.12278910588896358,0.24179044192307778
2021,British Columbia,343369,334625,2.7145,1139588,0.2575783700863561,13101116791850.254,77787763265986.27,19.5089,2522305,3.285714444655935,424809.9058546555,393195.3203508526,0.14511013035787337,0.21043081401950084,0.26951036489997904
2022,British Columbia,353910,349644,2.8084,1227824,0.2258913822887813,28044770358736.14,171463786749622.88,19.9984,2547967,3.270956195322581,416747.7620273368,393140.1080900547,0.1108476959963118,0.16470452760382476,0.1919202446698265
2023,British Columbia,362779,368032,2.9005,1303740,0.1870495612060504,69951730306461.47,417462611115120.0,20.5328,2578537,3.440559345422278,432070.1303702917,405994.36179672915,0.11912310744758972,0.18619525785977512,0.17400152804726682
