Year,GEO,Y,K,L,WAGE,alpha,s_i,total_s,total_L,total_K,l_eff,k_eff
2015,Newfoundland and Labrador,37475,60897,0.2374,886292,0.3643520415554808,106811785508.14375,5566934656292.936,17.8676,2417360,0.3428224645295503,46381.456538939405
2016,Newfoundland and Labrador,38590,67134,0.2305,886616,0.3670353143087226,105419558233.36417,5269198864082.891,18.1041,2426128,0.3622042502935271,48538.9427453524
2017,Newfoundland and Labrador,35557,69613,0.2269,945328,0.3465757704504966,137367423720.05013,8949068949235.055,18.6196,2447126,0.28580922744108184,37563.169536992464
2018,Newfoundland and Labrador,34249,70506,0.231,986268,0.3360735856016932,154971514199.55142,12018085848964.45,18.893,2475676,0.2436225580818603,31923.49124553367
2019,Newfoundland and Labrador,35074,71795,0.2263,1034668,0.3124307226113422,307587018864.06464,21042033598460.055,19.1864,2504801,0.280461845625291,36614.53484677034
2020,Newfoundland and Labrador,33216,71947,0.2266999999999999,1038524,0.2801528244944319,589634862695.5466,41098283505812.96,18.5917,2506634,0.2667341198136968,35962.54316093128
2021,Newfoundland and Labrador,33522,70852,0.2282,1139588,0.2575783700863561,1071763291858.198,77787763265986.27,19.5089,2522305,0.268794499374365,34752.4314412631
2022,Newfoundland and Labrador,34244,69854,0.2398,1227824,0.2258913822887813,2373337637753.8706,171463786749622.88,19.9984,2547967,0.27681037678331455,35268.006705609034
2023,Newfoundland and Labrador,35482,69612,0.241,1303740,0.1870495612060504,6968822954424.193,417462611115119.94,20.532799999999998,2578537,0.3427599122622806,43044.25679327925
2015,Prince Edward Island,7316,5295,0.0729,886292,0.3643520415554808,21136574601.59884,5566934656292.936,17.8676,2417360,0.06783982275139798,9178.248557518606
2016,Prince Edward Island,7561,5279,0.0728,886616,0.3670353143087226,22058866040.257885,5269198864082.891,18.1041,2426128,0.07579063288000253,10156.69249329681
2017,Prince Edward Island,7950,5404,0.0752,945328,0.3465757704504966,38227595281.05334,8949068949235.055,18.6196,2447126,0.0795370487290683,10453.349154018884
2018,Prince Edward Island,8123,5509,0.0757999999999999,986268,0.3360735856016932,50376999038.15212,12018085848964.45,18.893,2475676,0.07919502779303399,10377.453534459704
2019,Prince Edward Island,8444,5614,0.0808,1034668,0.3124307226113422,86962028293.06772,21042033598460.055,19.1864,2504801,0.07929310880694637,10351.783462908525
2020,Prince Edward Island,8375,5711,0.0772,1038524,0.2801528244944319,184305582969.24985,41098283505812.96,18.5917,2506634,0.0833746281983954,11241.020335927144
2021,Prince Edward Island,9151,5925,0.0842,1139588,0.2575783700863561,344051082738.33234,77787763265986.27,19.5089,2522305,0.0862868128124824,11156.019016499567
2022,Prince Edward Island,9315,6091,0.0841,1227824,0.2258913822887813,728351250249.6655,171463786749622.88,19.9984,2547967,0.08495006391211028,10823.363843904906
2023,Prince Edward Island,9401,6215,0.0923,1303740,0.1870495612060504,1523626865191.3103,417462611115119.94,20.532799999999998,2578537,0.07493922776469468,9410.970327607172
2015,Nova Scotia,52475,43982,0.4403,886292,0.3643520415554808,169505873186.00763,5566934656292.936,17.8676,2417360,0.5440450313737147,73605.44768416368
2016,Nova Scotia,53480,44230,0.4441,886616,0.3670353143087226,166170637086.74826,5269198864082.891,18.1041,2426128,0.5709349577577214,76510.91670918882
2017,Nova Scotia,54532,44381,0.4483999999999999,945328,0.3465757704504966,277947471445.7521,8949068949235.055,18.6196,2447126,0.5783027003913849,76004.83221970226
2018,Nova Scotia,55809,44776,0.4586,986268,0.3360735856016932,366008809710.9084,12018085848964.45,18.893,2475676,0.5753831790496015,75396.30165547034
2019,Nova Scotia,57201,45398,0.4665,1034668,0.3124307226113422,657026723728.1733,21042033598460.055,19.1864,2504801,0.5990855148649122,78211.12854517507
2020,Nova Scotia,55786,45443,0.4655,1038524,0.2801528244944319,1282521793518.5403,41098283505812.96,18.5917,2506634,0.5801765522685662,78222.55479160944
2021,Nova Scotia,59580,45724,0.4821,1139588,0.2575783700863561,2483639098948.7656,77787763265986.27,19.5089,2522305,0.6228880325534225,80533.17198558916
2022,Nova Scotia,61395,45983,0.5005,1227824,0.2258913822887813,5288173474099.731,171463786749622.88,19.9984,2547967,0.6167775155862097,78582.72442073606
2023,Nova Scotia,62242,46407,0.5166000000000001,1303740,0.1870495612060504,12672676180155.076,417462611115119.94,20.532799999999998,2578537,0.6233025869713961,78275.18812346406
2015,New Brunswick,39491,37071,0.3563,886292,0.3643520415554808,107101402329.73357,5566934656292.936,17.8676,2417360,0.3437520169387184,46507.21841024985
2016,New Brunswick,40003,36590,0.3608,886616,0.3670353143087226,103972067204.72469,5269198864082.891,18.1041,2426128,0.3572309093725344,47872.46599909237
2017,New Brunswick,41609,36785,0.363,945328,0.3465757704504966,185351225292.17328,8949068949235.055,18.6196,2447126,0.3856452211986976,50684.35667635632
2018,New Brunswick,42752,37337,0.3576999999999999,986268,0.3360735856016932,258571032939.40616,12018085848964.45,18.893,2475676,0.4064859068838435,53264.56380726016
2019,New Brunswick,42732,37125,0.3638,1034668,0.3124307226113422,437246063914.2846,21042033598460.055,19.1864,2504801,0.39868664981596574,52048.884582083185
2020,New Brunswick,42151,36780,0.3629,1038524,0.2801528244944319,891369606687.2031,41098283505812.96,18.5917,2506634,0.40323037613730295,54365.71000277286
2021,New Brunswick,44336,36539,0.3685,1139588,0.2575783700863561,1712012955807.0796,77787763265986.27,19.5089,2522305,0.429366884343223,55512.82948876324
2022,New Brunswick,45961,36706,0.3823,1227824,0.2258913822887813,3727586605803.7246,171463786749622.88,19.9984,2547967,0.4347610034202698,55392.26586135564
2023,New Brunswick,46467,36748,0.3935,1303740,0.1870495612060504,8957022968567.389,417462611115119.94,20.532799999999998,2578537,0.4405490607116537,55324.75129355205
2015,Quebec,408179,374580,4.0343,886292,0.3643520415554808,1002251346878.701,5566934656292.936,17.8676,2417360,3.2168198966098225,435212.99700400286
2016,Quebec,414406,373666,4.115399999999999,886616,0.3670353143087226,963561220651.6912,5269198864082.891,18.1041,2426128,3.3106377543859313,443658.11908754543
2017,Quebec,431558,377837,4.231199999999999,945328,0.3465757704504966,1661526941164.0293,8949068949235.055,18.6196,2447126,3.4570039865814395,454345.11684821866
2018,Quebec,445169,384097,4.2785,986268,0.3360735856016932,2258116404555.676,12018085848964.45,18.893,2475676,3.549865907718279,465162.64388696116
2019,Quebec,455495,391117,4.3151,1034668,0.3124307226113422,4053531757148.199,21042033598460.055,19.1864,2504801,3.696062994169914,482524.1985917001
2020,Quebec,440934,394945,4.1831000000000005,1038524,0.2801528244944319,7990651065129.056,41098283505812.96,18.5917,2506634,3.6147443332164344,487359.4693840609
2021,Quebec,474242,401632,4.3542,1139588,0.2575783700863561,15576551844450.39,77787763265986.27,19.5089,2522305,3.906544930969553,505077.0577587233
2022,Quebec,488690,408792,4.453,1227824,0.2258913822887813,33702724622757.85,171463786749622.88,19.9984,2547967,3.9308624921480284,500825.46161347587
2023,Quebec,487555,416781,4.548,1303740,0.1870495612060504,78004088976130.95,417462611115119.94,20.532799999999998,2578537,3.8366127061075437,481807.05102900864
2015,Ontario,781916,633252,6.884399999999999,886292,0.3643520415554808,2435970464135.417,5566934656292.936,17.8676,2417360,7.8184761546975965,1057784.5663278662
2016,Ontario,795465,637821,6.9861,886616,0.3670353143087226,2355389272106.4097,5269198864082.891,18.1041,2426128,8.092729847759042,1084505.6357446075
2017,Ontario,823285,646544,7.2054,945328,0.3465757704504966,3964573114062.172,8949068949235.055,18.6196,2447126,8.248764868539968,1084113.8895406313
2018,Ontario,850111,661304,7.3078,986268,0.3360735856016932,5361412080300.872,12018085848964.45,18.893,2475676,8.428393648215819,1104428.7235187818
2019,Ontario,861669,675608,7.5061,1034668,0.3124307226113422,9108647177107.54,21042033598460.055,19.1864,2504801,8.305383003078463,1084274.8848921077
2020,Ontario,826151,683809,7.2882,1038524,0.2801528244944319,17374880041398.94,41098283505812.96,18.5917,2506634,7.85990386240796,1059714.9404434836
2021,Ontario,876703,696582,7.716399999999999,1139588,0.2575783700863561,31683938224910.285,77787763265986.27,19.5089,2522305,7.946221314043528,1027366.6763127885
2022,Ontario,904895,706610,7.864,1227824,0.2258913822887813,69276389191901.19,171463786749622.88,19.9984,2547967,8.07993902314982,1029453.2559103715
2023,Ontario,911581,715757,8.0366,1303740,0.1870495612060504,165030868966476.88,417462611115119.94,20.532799999999998,2578537,8.117004340253233,1019344.4644911338
2015,Manitoba,73665,77402,0.637,886292,0.3643520415554808,194234621095.461,5566934656292.936,17.8676,2417360,0.6234142719750003,84343.54499213587
2016,Manitoba,73891,79261,0.6407,886616,0.3670353143087226,179589265598.0406,5269198864082.891,18.1041,2426128,0.6170391566497423,82689.33418641776
2017,Manitoba,76405,81377,0.6501,945328,0.3465757704504966,309065208429.98346,8949068949235.055,18.6196,2447126,0.643046845155307,84513.98816287814
2018,Manitoba,77545,83149,0.658,986268,0.3360735856016932,401016901027.1733,12018085848964.45,18.893,2475676,0.6304175562000346,82607.8237369966
2019,Manitoba,78038,84348,0.6645,1034668,0.3124307226113422,696463191830.6671,21042033598460.055,19.1864,2504801,0.6350441995643351,82905.56571910031
2020,Manitoba,74752,84149,0.6321,1038524,0.2801528244944319,1406511440770.602,41098283505812.96,18.5917,2506634,0.6362659586421952,85784.83328448287
2021,Manitoba,78035,83350,0.6811,1139588,0.2575783700863561,2451807191838.572,77787763265986.27,19.5089,2522305,0.614904701158501,79501.00734821508
2022,Manitoba,80674,82480,0.6938,1227824,0.2258913822887813,5557544984342.905,171463786749622.88,19.9984,2547967,0.6481952237365224,82585.60883062024
2023,Manitoba,82385,81582,0.7155,1303740,0.1870495612060504,14012370757455.598,417462611115119.94,20.532799999999998,2578537,0.6891951485670753,86550.06578745719
2015,Saskatchewan,76328,143531,0.5631,886292,0.3643520415554808,161155025604.91782,5566934656292.936,17.8676,2417360,0.5172422011893848,69979.21419033174
2016,Saskatchewan,73677,144239,0.5606,886616,0.3670353143087226,135847656303.44276,5269198864082.891,18.1041,2426128,0.4667501868732789,62549.129610336575
2017,Saskatchewan,75740,145909,0.5642999999999999,945328,0.3465757704504966,241670231713.33,8949068949235.055,18.6196,2447126,0.5028235978441256,66084.80846516056
2018,Saskatchewan,76296,147288,0.5732,986268,0.3360735856016932,312370530024.8235,12018085848964.45,18.893,2475676,0.4910612636593463,64347.0377902459
2019,Saskatchewan,74972,147116,0.5735,1034668,0.3124307226113422,534165520583.85,21042033598460.055,19.1864,2504801,0.4870590713665633,63585.98012227615
2020,Saskatchewan,69707,144134,0.5487000000000001,1038524,0.2801528244944319,1034239652251.8992,41098283505812.96,18.5917,2506634,0.4678607402192838,63079.52681566636
2021,Saskatchewan,72755,141192,0.5658,1139588,0.2575783700863561,1994738263305.8452,77787763265986.27,19.5089,2522305,0.5002734063960876,64680.33124983386
2022,Saskatchewan,75354,139262,0.5794,1227824,0.2258913822887813,4724814831289.982,171463786749622.88,19.9984,2547967,0.5510710961962201,70211.1652813122
2023,Saskatchewan,77634,138982,0.6019,1303740,0.1870495612060504,12724806021839.004,417462611115119.94,20.532799999999998,2578537,0.6258665809311631,78597.17797838087
2015,Alberta,319419,757553,2.2274000000000003,886292,0.3643520415554808,611752158477.0156,5566934656292.936,17.8676,2417360,1.9634760495074064,265644.43255038303
2016,Alberta,299754,751934,2.1991,886616,0.3670353143087226,482509699504.4725,5269198864082.891,18.1041,2426128,1.6578239076044676,222164.7583314615
2017,Alberta,306425,748437,2.2635,945328,0.3465757704504966,838780786102.8694,8949068949235.055,18.6196,2447126,1.7451829697050167,229364.89612678892
2018,Alberta,310233,744592,2.2953,986268,0.3360735856016932,1119770353868.473,12018085848964.45,18.893,2475676,1.7603320163884477,230668.0635687549
2019,Alberta,304336,736677,2.3091,1034668,0.3124307226113422,1923271533807.806,21042033598460.055,19.1864,2504801,1.753664007025948,228942.34241246933
2020,Alberta,281112,718484,2.1722,1038524,0.2801528244944319,3803836294411.954,41098283505812.96,18.5917,2506634,1.7207478561681555,232000.57454123124
2021,Alberta,297707,705884,2.3139000000000003,1139588,0.2575783700863561,7368144520278.547,77787763265986.27,19.5089,2522305,1.8479049736929034,238915.5695436687
2022,Alberta,312459,702545,2.3931,1227824,0.2258913822887813,18040093792687.8,171463786749622.88,19.9984,2547967,2.1040770097449233,268077.3855052776
2023,Alberta,318014,698421,2.4869,1303740,0.1870495612060504,47616597118418.03,417462611115119.94,20.532799999999998,2578537,2.342011091008678,294112.9438058251
2015,British Columbia,279559,283797,2.4145,886292,0.3643520415554808,757015404475.9395,5566934656292.936,17.8676,2417360,2.4297120904274085,328722.8737444089
2016,British Columbia,289631,285974,2.494,886616,0.3670353143087226,754680621353.7395,5269198864082.891,18.1041,2426128,2.5929583964237533,347482.005092701
2017,British Columbia,301933,290839,2.5916,945328,0.3465757704504966,1294558952023.6414,8949068949235.055,18.6196,2447126,2.693483534413908,353997.5932692523
2018,British Columbia,311789,297118,2.6571,986268,0.3360735856016932,1735471223299.4143,12018085848964.45,18.893,2475676,2.7282429360097367,357499.89725553594
2019,British Columbia,323694,310003,2.6807,1034668,0.3124307226113422,3237132583182.4023,21042033598460.055,19.1864,2504801,2.9516596056816597,385341.696825409
2020,British Columbia,317912,321232,2.6351,1038524,0.2801528244944319,6540333165979.969,41098283505812.96,18.5917,2506634,2.958661572928008,398902.8272398341
2021,British Columbia,343369,334625,2.7145,1139588,0.2575783700863561,13101116791850.254,77787763265986.27,19.5089,2522305,3.285714444655935,424809.9058546555
2022,British Columbia,353910,349644,2.8084,1227824,0.2258913822887813,28044770358736.14,171463786749622.88,19.9984,2547967,3.270956195322581,416747.76202733675
2023,British Columbia,362779,368032,2.9005,1303740,0.1870495612060504,69951730306461.47,417462611115119.94,20.532799999999998,2578537,3.440559345422278,432070.13037029165
