Year,GEO,Y,K,L,WAGE,alpha,s_i
2015,Newfoundland and Labrador,37475,60897,0.2374,886292,0.3643520415554808,106811785508.14375
2016,Newfoundland and Labrador,38590,67134,0.2305,886616,0.3670353143087226,105419558233.36415
2017,Newfoundland and Labrador,35557,69613,0.2269,945328,0.3465757704504966,137367423720.05013
2018,Newfoundland and Labrador,34249,70506,0.231,986268,0.3360735856016932,154971514199.55142
2019,Newfoundland and Labrador,35074,71795,0.2263,1034668,0.3124307226113422,307587018864.06464
2020,Newfoundland and Labrador,33216,71947,0.2266999999999999,1038524,0.2801528244944319,589634862695.5466
2021,Newfoundland and Labrador,33522,70852,0.2282,1139588,0.2575783700863561,1071763291858.1981
2022,Newfoundland and Labrador,34244,69854,0.2398,1227824,0.2258913822887813,2373337637753.8706
2023,Newfoundland and Labrador,35482,69612,0.241,1303740,0.1870495612060504,6968822954424.193
2015,Prince Edward Island,7316,5295,0.0729,886292,0.3643520415554808,21136574601.59884
2016,Prince Edward Island,7561,5279,0.0728,886616,0.3670353143087226,22058866040.257885
2017,Prince Edward Island,7950,5404,0.0752,945328,0.3465757704504966,38227595281.05334
2018,Prince Edward Island,8123,5509,0.0757999999999999,986268,0.3360735856016932,50376999038.15212
2019,Prince Edward Island,8444,5614,0.0808,1034668,0.3124307226113422,86962028293.06772
2020,Prince Edward Island,8375,5711,0.0772,1038524,0.2801528244944319,184305582969.24982
2021,Prince Edward Island,9151,5925,0.0842,1139588,0.2575783700863561,344051082738.33234
2022,Prince Edward Island,9315,6091,0.0841,1227824,0.2258913822887813,728351250249.6655
2023,Prince Edward Island,9401,6215,0.0923,1303740,0.1870495612060504,1523626865191.3103
2015,Nova Scotia,52475,43982,0.4403,886292,0.3643520415554808,169505873186.00763
2016,Nova Scotia,53480,44230,0.4441,886616,0.3670353143087226,166170637086.74826
2017,Nova Scotia,54532,44381,0.4483999999999999,945328,0.3465757704504966,277947471445.7521
2018,Nova Scotia,55809,44776,0.4586,986268,0.3360735856016932,366008809710.9084
2019,Nova Scotia,57201,45398,0.4665,1034668,0.3124307226113422,657026723728.1733
2020,Nova Scotia,55786,45443,0.4655,1038524,0.2801528244944319,1282521793518.5405
2021,Nova Scotia,59580,45724,0.4821,1139588,0.2575783700863561,2483639098948.7656
2022,Nova Scotia,61395,45983,0.5005,1227824,0.2258913822887813,5288173474099.731
2023,Nova Scotia,62242,46407,0.5166000000000001,1303740,0.1870495612060504,12672676180155.076
2015,New Brunswick,39491,37071,0.3563,886292,0.3643520415554808,107101402329.73355
2016,New Brunswick,40003,36590,0.3608,886616,0.3670353143087226,103972067204.72467
2017,New Brunswick,41609,36785,0.363,945328,0.3465757704504966,185351225292.17328
2018,New Brunswick,42752,37337,0.3576999999999999,986268,0.3360735856016932,258571032939.40616
2019,New Brunswick,42732,37125,0.3638,1034668,0.3124307226113422,437246063914.2846
2020,New Brunswick,42151,36780,0.3629,1038524,0.2801528244944319,891369606687.2031
2021,New Brunswick,44336,36539,0.3685,1139588,0.2575783700863561,1712012955807.0796
2022,New Brunswick,45961,36706,0.3823,1227824,0.2258913822887813,3727586605803.7246
2023,New Brunswick,46467,36748,0.3935,1303740,0.1870495612060504,8957022968567.389
2015,Quebec,408179,374580,4.0343,886292,0.3643520415554808,1002251346878.701
2016,Quebec,414406,373666,4.115399999999999,886616,0.3670353143087226,963561220651.6912
2017,Quebec,431558,377837,4.231199999999999,945328,0.3465757704504966,1661526941164.0293
2018,Quebec,445169,384097,4.2785,986268,0.3360735856016932,2258116404555.6753
2019,Quebec,455495,391117,4.3151,1034668,0.3124307226113422,4053531757148.199
2020,Quebec,440934,394945,4.1831000000000005,1038524,0.2801528244944319,7990651065129.056
2021,Quebec,474242,401632,4.3542,1139588,0.2575783700863561,15576551844450.39
2022,Quebec,488690,408792,4.453,1227824,0.2258913822887813,33702724622757.855
2023,Quebec,487555,416781,4.548,1303740,0.1870495612060504,78004088976130.95
2015,Ontario,781916,633252,6.884399999999999,886292,0.3643520415554808,2435970464135.417
2016,Ontario,795465,637821,6.9861,886616,0.3670353143087226,2355389272106.4097
2017,Ontario,823285,646544,7.2054,945328,0.3465757704504966,3964573114062.172
2018,Ontario,850111,661304,7.3078,986268,0.3360735856016932,5361412080300.872
2019,Ontario,861669,675608,7.5061,1034668,0.3124307226113422,9108647177107.54
2020,Ontario,826151,683809,7.2882,1038524,0.2801528244944319,17374880041398.941
2021,Ontario,876703,696582,7.716399999999999,1139588,0.2575783700863561,31683938224910.285
2022,Ontario,904895,706610,7.864,1227824,0.2258913822887813,69276389191901.19
2023,Ontario,911581,715757,8.0366,1303740,0.1870495612060504,165030868966476.88
2015,Manitoba,73665,77402,0.637,886292,0.3643520415554808,194234621095.461
2016,Manitoba,73891,79261,0.6407,886616,0.3670353143087226,179589265598.0406
2017,Manitoba,76405,81377,0.6501,945328,0.3465757704504966,309065208429.98346
2018,Manitoba,77545,83149,0.658,986268,0.3360735856016932,401016901027.1733
2019,Manitoba,78038,84348,0.6645,1034668,0.3124307226113422,696463191830.6671
2020,Manitoba,74752,84149,0.6321,1038524,0.2801528244944319,1406511440770.602
2021,Manitoba,78035,83350,0.6811,1139588,0.2575783700863561,2451807191838.572
2022,Manitoba,80674,82480,0.6938,1227824,0.2258913822887813,5557544984342.905
2023,Manitoba,82385,81582,0.7155,1303740,0.1870495612060504,14012370757455.598
2015,Saskatchewan,76328,143531,0.5631,886292,0.3643520415554808,161155025604.91782
2016,Saskatchewan,73677,144239,0.5606,886616,0.3670353143087226,135847656303.44275
2017,Saskatchewan,75740,145909,0.5642999999999999,945328,0.3465757704504966,241670231713.33002
2018,Saskatchewan,76296,147288,0.5732,986268,0.3360735856016932,312370530024.8235
2019,Saskatchewan,74972,147116,0.5735,1034668,0.3124307226113422,534165520583.85
2020,Saskatchewan,69707,144134,0.5487000000000001,1038524,0.2801528244944319,1034239652251.8992
2021,Saskatchewan,72755,141192,0.5658,1139588,0.2575783700863561,1994738263305.8455
2022,Saskatchewan,75354,139262,0.5794,1227824,0.2258913822887813,4724814831289.982
2023,Saskatchewan,77634,138982,0.6019,1303740,0.1870495612060504,12724806021839.004
2015,Alberta,319419,757553,2.2274000000000003,886292,0.3643520415554808,611752158477.0156
2016,Alberta,299754,751934,2.1991,886616,0.3670353143087226,482509699504.4725
2017,Alberta,306425,748437,2.2635,945328,0.3465757704504966,838780786102.8694
2018,Alberta,310233,744592,2.2953,986268,0.3360735856016932,1119770353868.4727
2019,Alberta,304336,736677,2.3091,1034668,0.3124307226113422,1923271533807.806
2020,Alberta,281112,718484,2.1722,1038524,0.2801528244944319,3803836294411.954
2021,Alberta,297707,705884,2.3139000000000003,1139588,0.2575783700863561,7368144520278.547
2022,Alberta,312459,702545,2.3931,1227824,0.2258913822887813,18040093792687.797
2023,Alberta,318014,698421,2.4869,1303740,0.1870495612060504,47616597118418.03
2015,British Columbia,279559,283797,2.4145,886292,0.3643520415554808,757015404475.9395
2016,British Columbia,289631,285974,2.494,886616,0.3670353143087226,754680621353.7395
2017,British Columbia,301933,290839,2.5916,945328,0.3465757704504966,1294558952023.6414
2018,British Columbia,311789,297118,2.6571,986268,0.3360735856016932,1735471223299.4143
2019,British Columbia,323694,310003,2.6807,1034668,0.3124307226113422,3237132583182.4023
2020,British Columbia,317912,321232,2.6351,1038524,0.2801528244944319,6540333165979.969
2021,British Columbia,343369,334625,2.7145,1139588,0.2575783700863561,13101116791850.254
2022,British Columbia,353910,349644,2.8084,1227824,0.2258913822887813,28044770358736.14
2023,British Columbia,362779,368032,2.9005,1303740,0.1870495612060504,69951730306461.47
