"REF_DATE","GEO","DGUID","Index","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","104.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","105.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","109.1","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","118.1","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","124.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-residential structures, machinery and equipment","2017=100","402","units","0","v62471011","1.1.13","128.9","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","98.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","99.3","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","102.5","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","104.8","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","105.4","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","113.3","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","122.7","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","127.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-residential structures","2017=100","402","units","0","v62471012","1.1.14","131.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","99.2","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","100.5","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","101.4","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","104.3","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","106.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","103.2","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","111.6","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","120.7","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Machinery and equipment","2017=100","402","units","0","v62471013","1.1.15","125.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","98.6","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","99.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","99.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","102.7","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","103.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","105.2","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","109.6","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","116.3","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Intellectual property products","2017=100","402","units","0","v62471014","1.1.16","122.2","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","96.2","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","97.9","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","101.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","103.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","105.0","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","113.0","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","122.5","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","125.5","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Non-profit institutions serving households' gross fixed capital formation","2017=100","402","units","0","v62471015","1.1.17","128.0","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","97.7","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","98.5","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","102.2","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","104.4","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","104.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","110.0","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","119.0","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","123.2","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","General governments gross fixed capital formation","2017=100","402","units","0","v62471016","1.1.18","127.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","97.0","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","96.2","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","103.6","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","104.9","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","100.8","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","117.9","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","138.5","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","133.4","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Exports of goods and services","2017=100","402","units","0","v62471017","1.1.19","135.0","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","96.8","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","95.6","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","103.9","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","105.3","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","100.1","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","120.1","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","143.9","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","135.9","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Exports of goods","2017=100","402","units","0","v62471018","1.1.20","136.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","97.8","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","98.7","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","102.5","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","103.7","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","103.6","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","108.4","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","117.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","122.1","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Exports of services","2017=100","402","units","0","v62471019","1.1.21","126.2","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","99.4","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","99.8","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","102.8","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","105.1","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","104.3","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","107.8","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","121.1","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","123.8","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Imports of goods and services","2017=100","402","units","0","v62471020","1.1.22","126.5","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","100.1","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","100.0","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","102.7","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","104.6","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","103.1","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","106.8","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","120.9","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","123.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Imports of goods","2017=100","402","units","0","v62471021","1.1.23","125.8","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","96.8","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","98.8","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","103.0","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","106.9","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","108.7","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","111.3","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","120.8","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","123.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Imports of services","2017=100","402","units","0","v62471022","1.1.24","128.3","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","96.8","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","97.5","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","101.7","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","103.2","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","104.3","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","112.5","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","121.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","123.0","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Gross domestic product at market prices","2017=100","402","units","0","v62471023","1.1.25","126.7","","","","1"
"2015","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","97.6","","","","1"
"2016","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","98.6","","","","1"
"2017","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","100.0","","","","1"
"2018","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","101.6","","","","1"
"2019","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","103.5","","","","1"
"2020","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","105.4","","","","1"
"2021","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","109.4","","","","1"
"2022","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","116.3","","","","1"
"2023","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","120.6","","","","1"
"2024","Canada","2016A000011124","Implicit price indexes","Final domestic demand","2017=100","402","units","0","v62471024","1.1.26","124.6","","","","1"


