Year,GEO,Y,K,L,WAGE,alpha,s_raw,s_i,A
2015,Newfoundland and Labrador,37475,60897,0.2762,908086.0655737706,0.3487213540527466,129443897749.24368,0.01754450263231241,19467.648980906324
2016,Newfoundland and Labrador,38590,67134,0.2723,899204.8681541582,0.3580479861143231,106712389498.57373,0.01770946494515193,18197.1399384946
2017,Newfoundland and Labrador,35557,69613,0.2673,945328.0,0.3465757704504966,110887498053.43706,0.013154373825341275,20351.861336787577
2018,Newfoundland and Labrador,34249,70506,0.2652,970736.2204724408,0.34652911968670597,99356548595.39734,0.011119483228732982,20750.9172025634
2019,Newfoundland and Labrador,35074,71795,0.2635,999679.2270531402,0.33568185759549973,139419119407.2318,0.01205879298452496,22612.027167413537
2020,Newfoundland and Labrador,33216,71947,0.2535,985316.8880455408,0.31703304031729784,198839064797.79877,0.012479267571065484,25163.48983678617
2021,Newfoundland and Labrador,33522,70852,0.2588999999999999,1041670.932358318,0.3213696253074554,179891612746.9683,0.010800296301189956,25538.28612121656
2022,Newfoundland and Labrador,34244,69854,0.2641,1055738.6070507308,0.33438639921649305,136096745466.83517,0.010349761334163567,23603.285974193826
2023,Newfoundland and Labrador,35482,69612,0.2646,1081044.776119403,0.3259117422935741,187025084666.12274,0.01191608675339493,25037.37156819634
2015,Prince Edward Island,7316,5295,0.0815,908086.0655737706,0.3487213540527466,25936867535.16085,0.0035154182518984493,19467.648980906324
2016,Prince Edward Island,7561,5279,0.0808,899204.8681541582,0.3580479861143231,23594589029.985466,0.003915642309999802,18197.1399384946
2017,Prince Edward Island,7950,5404,0.0824,945328.0,0.3465757704504966,33922109288.522736,0.004024115561794646,20351.861336787577
2018,Prince Edward Island,8123,5509,0.0845,970736.2204724408,0.34652911968670597,34586278395.546326,0.003870721638386127,20750.9172025634
2019,Prince Edward Island,8444,5614,0.0858,999679.2270531402,0.33568185759549973,47810876791.28074,0.004135311340983679,22612.027167413537
2020,Prince Edward Island,8375,5711,0.0853,985316.8880455408,0.31703304031729784,70340211773.93701,0.004414596923522084,25163.48983678617
2021,Prince Edward Island,9151,5925,0.0887,1041670.932358318,0.3213696253074554,77177864283.1625,0.004633589022983664,25538.28612121656
2022,Prince Edward Island,9315,6091,0.0912,1055738.6070507308,0.33438639921649305,57668008367.36475,0.00438548417283216,23603.285974193826
2023,Prince Edward Island,9401,6215,0.0962,1081044.776119403,0.3259117422935741,65724551068.47018,0.004187563683010535,25037.37156819634
2015,Nova Scotia,52475,43982,0.487,908086.0655737706,0.3487213540527466,213034773780.62518,0.028874201212703326,19467.648980906324
2016,Nova Scotia,53480,44230,0.4826,899204.8681541582,0.3580479861143231,183670126361.37073,0.030480993627378144,18197.1399384946
2017,Nova Scotia,54532,44381,0.4871,945328.0,0.3465757704504966,249446965278.07407,0.029591420930819748,20351.861336787577
2018,Nova Scotia,55809,44776,0.4898,970736.2204724408,0.34652911968670597,264116090492.19733,0.029558539222472133,20750.9172025634
2019,Nova Scotia,57201,45398,0.5016,999679.2270531402,0.33568185759549973,349752840595.9004,0.03025121029617369,22612.027167413537
2020,Nova Scotia,55786,45443,0.4965,985316.8880455408,0.31703304031729784,503254922386.0135,0.0315846025492893,25163.48983678617
2021,Nova Scotia,59580,45724,0.5202,1041670.932358318,0.3213696253074554,519128344160.91864,0.0311673226431649,25538.28612121656
2022,Nova Scotia,61395,45983,0.5266000000000001,1055738.6070507308,0.33438639921649305,413954900118.8276,0.031480065189225366,23603.285974193826
2023,Nova Scotia,62242,46407,0.5396,1081044.776119403,0.3259117422935741,503125373806.6419,0.032056050731467306,25037.37156819634
2015,New Brunswick,39491,37071,0.3943,908086.0655737706,0.3487213540527466,134683227667.09729,0.01825462832486073,19467.648980906324
2016,New Brunswick,40003,36590,0.3962,899204.8681541582,0.3580479861143231,113425701851.13179,0.01882357334748577,18197.1399384946
2017,New Brunswick,41609,36785,0.3922,945328.0,0.3465757704504966,167526722850.49924,0.019873377763901162,20351.861336787577
2018,New Brunswick,42752,37337,0.3918,970736.2204724408,0.34652911968670597,180281640392.63016,0.020176210880247767,20750.9172025634
2019,New Brunswick,42732,37125,0.3939,999679.2270531402,0.33568185759549973,230110413627.93533,0.01990296491127277,22612.027167413537
2020,New Brunswick,42151,36780,0.3923,985316.8880455408,0.31703304031729784,342463784901.6462,0.021493247363305695,25163.48983678617
2021,New Brunswick,44336,36539,0.4018,1041670.932358318,0.3213696253074554,350807206620.321,0.021061692194741227,25538.28612121656
2022,New Brunswick,45961,36706,0.4047,1055738.6070507308,0.33438639921649305,286676038832.1206,0.02180087827933312,23603.285974193826
2023,New Brunswick,46467,36748,0.4159,1081044.776119403,0.3259117422935741,346240247733.02246,0.02206029654722028,25037.37156819634
2015,Quebec,408179,374580,4.3794,908086.0655737706,0.3487213540527466,1287788848775.6409,0.17454368448464624,19467.648980906324
2016,Quebec,414406,373666,4.3809,899204.8681541582,0.3580479861143231,1091790469400.0835,0.18118819319991117,18197.1399384946
2017,Quebec,431558,377837,4.4356,945328.0,0.3465757704504966,1562181907698.716,0.18531868026412504,20351.861336787577
2018,Quebec,445169,384097,4.4891000000000005,970736.2204724408,0.34652911968670597,1670697242882.933,0.18697599941980872,20750.9172025634
2019,Quebec,455495,391117,4.5292,999679.2270531402,0.33568185759549973,2235450602180.8687,0.19335107088212233,22612.027167413537
2020,Quebec,440934,394945,4.4869,985316.8880455408,0.31703304031729784,3119112479528.068,0.19575750497450126,25163.48983678617
2021,Quebec,474242,401632,4.5394,1041670.932358318,0.3213696253074554,3423587406747.517,0.20554464903210934,25538.28612121656
2022,Quebec,488690,408792,4.5908,1055738.6070507308,0.33438639921649305,2711167779844.968,0.20617641782703272,23603.285974193826
2023,Quebec,487555,416781,4.7344,1081044.776119403,0.3259117422935741,3093901912849.235,0.19712437861381724,25037.37156819634
2015,Ontario,781916,633252,7.366,908086.0655737706,0.3487213540527466,3188555877595.151,0.4321689006623735,19467.648980906324
2016,Ontario,795465,637821,7.422,899204.8681541582,0.3580479861143231,2675940375121.3486,0.4440859443894433,18197.1399384946
2017,Ontario,823285,646544,7.5683,945328.0,0.3465757704504966,3717987857416.78,0.44105785605308856,20351.861336787577
2018,Ontario,850111,661304,7.6742,970736.2204724408,0.34652911968670597,3961532277279.3877,0.4433546891476174,20750.9172025634
2019,Ontario,861669,675608,7.848,999679.2270531402,0.33568185759549973,5050874665561.469,0.43686584911558524,22612.027167413537
2020,Ontario,826151,683809,7.8056,985316.8880455408,0.31703304031729784,6799485112931.897,0.42674005812711363,25163.48983678617
2021,Ontario,876703,696582,8.0601,1041670.932358318,0.3213696253074554,6964814961883.081,0.418152153525379,25538.28612121656
2022,Ontario,904895,706610,8.2215,1055738.6070507308,0.33438639921649305,5495592160656.323,0.4179237869178407,23603.285974193826
2023,Ontario,911581,715757,8.483799999999999,1081044.776119403,0.3259117422935741,6474530445298.5625,0.41251721185639084,25037.37156819634
2015,Manitoba,73665,77402,0.6765,908086.0655737706,0.3487213540527466,258967301656.73953,0.035099781330758445,19467.648980906324
2016,Manitoba,73891,79261,0.6791,899204.8681541582,0.3580479861143231,205758972796.82404,0.0341467502791185,18197.1399384946
2017,Manitoba,76405,81377,0.6854,945328.0,0.3465757704504966,288429539987.3548,0.03421584991877525,20351.861336787577
2018,Manitoba,77545,83149,0.695,970736.2204724408,0.34652911968670597,292032110514.1698,0.032682759224430584,20750.9172025634
2019,Manitoba,78038,84348,0.6989,999679.2270531402,0.33568185759549973,377091151981.9666,0.03261578582177376,22612.027167413537
2020,Manitoba,74752,84149,0.692,985316.8880455408,0.31703304031729784,520554816011.5214,0.032670354998000646,25163.48983678617
2021,Manitoba,78035,83350,0.7098,1041670.932358318,0.3213696253074554,520063524305.25116,0.031223468799728562,25538.28612121656
2022,Manitoba,80674,82480,0.7205,1055738.6070507308,0.33438639921649305,418602711968.124,0.03183351775123419,23603.285974193826
2023,Manitoba,82385,81582,0.7431,1081044.776119403,0.3259117422935741,524690195913.4823,0.0334300284067368,25037.37156819634
2015,Saskatchewan,76328,143531,0.5966,908086.0655737706,0.3487213540527466,220578351258.6171,0.029896638865006292,19467.648980906324
2016,Saskatchewan,73677,144239,0.5998,899204.8681541582,0.3580479861143231,155817365052.02216,0.025858685923920852,18197.1399384946
2017,Saskatchewan,75740,145909,0.6011,945328.0,0.3465757704504966,222519245400.57736,0.02639703653446547,20351.861336787577
2018,Saskatchewan,76296,147288,0.6021,970736.2204724408,0.34652911968670597,225748361258.35065,0.02526461670028732,20750.9172025634
2019,Saskatchewan,74972,147116,0.6081,999679.2270531402,0.33568185759549973,276908689084.7754,0.023950693215440622,22612.027167413537
2020,Saskatchewan,69707,144134,0.5949,985316.8880455408,0.31703304031729784,368913878227.51996,0.023153272229289104,25163.48983678617
2021,Saskatchewan,72755,141192,0.5971000000000001,1041670.932358318,0.3213696253074554,379809634401.34265,0.022802934094270397,25538.28612121656
2022,Saskatchewan,75354,139262,0.6059,1055738.6070507308,0.33438639921649305,302647689171.3378,0.023015475796390517,23603.285974193826
2023,Saskatchewan,77634,138982,0.616,1081044.776119403,0.3259117422935741,399518656219.72235,0.02545486866434403,25037.37156819634
2015,Alberta,319419,757553,2.4098,908086.0655737706,0.3487213540527466,822197893460.9972,0.11143864915171303,19467.648980906324
2016,Alberta,299754,751934,2.3951,899204.8681541582,0.3580479861143231,543714815309.8057,0.09023224488865424,18197.1399384946
2017,Alberta,306425,748437,2.4121,945328.0,0.3465757704504966,771898330940.2869,0.09156883669115122,20351.861336787577
2018,Alberta,310233,744592,2.4385,970736.2204724408,0.34652911968670597,793479428598.1724,0.08880221106080907,20750.9172025634
2019,Alberta,304336,736677,2.4753000000000003,999679.2270531402,0.33568185759549973,972735559062.3865,0.08413492199127334,22612.027167413537
2020,Alberta,281112,718484,2.4118000000000004,985316.8880455408,0.31703304031729784,1291307814287.4526,0.08104330880598294,25163.48983678617
2021,Alberta,297707,705884,2.4572,1041670.932358318,0.3213696253074554,1355898192204.2883,0.08140514172082167,25538.28612121656
2022,Alberta,312459,702545,2.502,1055738.6070507308,0.33438639921649305,1106806216138.798,0.08416939097927716,23603.285974193826
2023,Alberta,318014,698421,2.5955,1081044.776119403,0.3259117422935741,1378995196534.762,0.08786108250536517,25037.37156819634
2015,British Columbia,279559,283797,2.5312,908086.0655737706,0.3487213540527466,1025425430074.698,0.13898360193105927,19467.648980906324
2016,British Columbia,289631,285974,2.6245,899204.8681541582,0.3580479861143231,871497363156.6986,0.144629429395564,18197.1399384946
2017,British Columbia,301933,290839,2.7063,945328.0,0.3465757704504966,1223327308123.1768,0.14512100105321052,20351.861336787577
2018,British Columbia,311789,297118,2.7372,970736.2204724408,0.34652911968670597,1309150837748.3638,0.14651355134631777,20750.9172025634
2019,British Columbia,323694,310003,2.8167,999679.2270531402,0.33568185759549973,1762619078721.5034,0.1524544027479648,22612.027167413537
2020,British Columbia,317912,321232,2.7811,985316.8880455408,0.31703304031729784,2561316345036.059,0.16074986088046775,25163.48983678617
2021,British Columbia,343369,334625,2.8724000000000003,1041670.932358318,0.3213696253074554,2719411277772.0703,0.16326746487090418,25538.28612121656
2022,British Columbia,353910,349644,2.911,1055738.6070507308,0.33438639921649305,2096556491214.9617,0.15943701837421195,23603.285974193826
2023,British Columbia,362779,368032,3.0039,1081044.776119403,0.3259117422935741,2552390677346.358,0.16262261714310486,25037.37156819634
2015,Yukon,3681,5506,0.0215,908086.0655737706,0.3487213540527466,18237821518.091896,0.0024719087820706228,19467.648980906324
2016,Yukon,3734,5423,0.0226,899204.8681541582,0.3580479861143231,14309214864.73124,0.002374687140174963,18197.1399384946
2017,Yukon,3864,5454,0.0233,945328.0,0.3465757704504966,20166006337.058678,0.00239225512865333,20351.861336787577
2018,Yukon,4302,5826,0.0233,970736.2204724408,0.34652911968670597,26617110621.587456,0.0029788526205688157,20750.9172025634
2019,Yukon,4150,5982,0.0242,999679.2270531402,0.33568185759549973,29229958664.295216,0.0025281899783730403,22612.027167413537
2020,Yukon,3902,5819,0.0233999999999999,985316.8880455408,0.31703304031729784,41137938887.22084,0.0025818434984987517,25163.48983678617
2021,Yukon,4236,5797,0.0245,1041670.932358318,0.3213696253074554,44507277826.30805,0.0026721189539816925,25538.28612121656
2022,Yukon,4564,6048,0.0251,1055738.6070507308,0.33438639921649305,37966073679.23766,0.002887209389376125,23603.285974193826
2023,Yukon,4560,6269,0.0259,1081044.776119403,0.3259117422935741,43746520421.43941,0.0027872589039680817,25037.37156819634
2015,Northwest Territories,5819,15725,0.0255,908086.0655737706,0.3487213540527466,27748290228.432213,0.0037609339599613697,19467.648980906324
2016,Northwest Territories,5671,15532,0.0253,899204.8681541582,0.3580479861143231,20412579526.09697,0.003387571614281694,18197.1399384946
2017,Northwest Territories,5282,14947,0.0242,945328.0,0.3465757704504966,24372777712.196014,0.0028912964474468537,20351.861336787577
2018,Northwest Territories,5331,14383,0.0243,970736.2204724408,0.34652911968670597,25627886161.665424,0.0028681436139954427,20750.9172025634
2019,Northwest Territories,5207,13710,0.0243999999999999,999679.2270531402,0.33568185759549973,32724896937.405884,0.0028304780526939907,22612.027167413537
2020,Northwest Territories,5044,12849,0.0238,985316.8880455408,0.31703304031729784,52543519814.743706,0.003297665091920241,25163.48983678617
2021,Northwest Territories,5264,12160,0.0247,1041670.932358318,0.3213696253074554,52472267845.06406,0.0031503194154984017,25538.28612121656
2022,Northwest Territories,5437,11654,0.0258,1055738.6070507308,0.33438639921649305,39904803643.81761,0.003034644159810687,23603.285974193826
2023,Northwest Territories,5586,11292,0.0252,1081044.776119403,0.3259117422935741,56859863423.947395,0.003622760372254352,25037.37156819634
2015,Nunavut,3727,7524,0.0145,908086.0655737706,0.3487213540527466,25433185233.69484,0.0034471504106361427,19467.648980906324
2016,Nunavut,3786,7737,0.0153,899204.8681541582,0.3580479861143231,19082384314.132015,0.0031668189389157547,18197.1399384946
2017,Nunavut,4348,8356,0.0153,945328.0,0.3465757704504966,37039281763.454506,0.004393899827226955,20351.861336787577
2018,Nunavut,4990,9279,0.0153,970736.2204724408,0.34652911968670597,52130853514.91499,0.005834221896325876,20750.9172025634
2019,Nunavut,4787,9888,0.0157,999679.2270531402,0.33568185759549973,56886944663.95642,0.00492032866181763,22612.027167413537
2020,Nunavut,4068,9684,0.0146,985316.8880455408,0.31703304031729784,64282594802.9172,0.00403441698704302,25163.48983678617
2021,Nunavut,4460,9625,0.0157,1041670.932358318,0.3213696253074554,68604272059.12583,0.004118849425226987,25538.28612121656
2022,Nunavut,4473,9641,0.0163999999999999,1055738.6070507308,0.33438639921649305,46107613965.63295,0.003506349829271527,23603.285974193826
2023,Nunavut,4715,9840,0.0161,1081044.776119403,0.3259117422935741,68427764838.92808,0.004359795818925632,25037.37156819634
